year,Methane
1880,826.5
1881,828.3
1882,830.2
1883,832.1
1884,834
1885,835.8
1886,837.3
1887,838.4
1888,839.4
1889,840.5
1890,841.7
1891,843
1892,844.5
1893,846.2
1894,848.4
1895,850.8
1896,853.2
1897,855.7
1898,858.6
1899,861.7
1900,865
1901,868.4
1902,872.1
1903,876.2
1904,880.6
1905,885.5
1906,890.8
1907,896.4
1908,902.3
1909,907.8
1910,912.5
1911,915.7
1912,918.1
1913,920.1
1914,922.6
1915,925.9
1916,930.4
1917,936.2
1918,942.9
1919,950.1
1920,957.3
1921,964.1
1922,970.6
1923,976.6
1924,982.2
1925,987.4
1926,992.1
1927,996.8
1928,1001.5
1929,1006.4
1930,1011.2
1931,1015.9
1932,1020.6
1933,1025.4
1934,1030.7
1935,1036.4
1936,1042.2
1937,1047.9
1938,1053.2
1939,1058.2
1940,1062.8
1941,1066.9
1942,1070.5
1943,1073.5
1944,1076
1945,1078.6
1946,1082
1947,1086.2
1948,1091.3
1949,1097.2
1950,1103.8
1951,1111.2
1952,1119.6
1953,1128.8
1954,1139
1955,1150.1
1956,1161.9
1957,1173.2
1958,1183.7
1959,1194.4
1960,1205.5
1961,1217.1
1962,1229.1
1963,1241.4
1964,1253.6
1965,1265.5
1966,1277.9
1967,1291.7
1968,1307.2
1969,1323.9
1970,1341.2
1971,1358.4
1972,1375.2
1973,1391.6
1974,1407.3
1975,1422.4
1976,1437.2
1977,1451.7
1978,1466
1979,1480.3
1980,1495.3
1981,1511.4
1982,1528.1
1983,1544.6
1984,1560.6
1985,1575.9
1986,1590.4
1987,1604.1
1988,1616.8
1989,1628.4
1990,1639.2
1991,1649.2
1992,1658.4
1993,1665.9
1994,1671.9
1995,1677.2
1996,1682
1997,1687.1
1998,1692.9
1999,1698.7
2000,1703.4
2001,1706.5
2002,1708.3
2003,1709.1
2004,1709.7
2005,1774.11
2006,1774.91
2007,1781.39
2008,1786.99
2009,1793.51
2010,1798.9
2011,1803.09
2012,1808.01
2013,1813.38
2014,1822.58
2015,1834.23
2016,1843.13
2017,1849.65
2018,1857.28
2019,1866.55
