Year,Nitrous Oxide Levels (ppb)
1880,275.8
1881,276
1882,276.2
1883,276.4
1884,276.8
1885,277.2
1886,277.5
1887,277.9
1888,278.1
1889,278.2
1890,278.3
1891,278.3
1892,278.2
1893,278.1
1894,278
1895,277.8
1896,277.5
1897,277.3
1898,277.1
1899,277.1
1900,277.2
1901,277.4
1902,277.8
1903,278.3
1904,278.8
1905,279.3
1906,279.6
1907,280
1908,280.2
1909,280.5
1910,280.8
1911,281.1
1912,281.4
1913,281.8
1914,282.2
1915,282.7
1916,283.2
1917,283.8
1918,284.4
1919,284.9
1920,285.2
1921,285.3
1922,285.2
1923,285
1924,284.6
1925,284.2
1926,283.9
1927,283.9
1928,284.2
1929,284.6
1930,285
1931,285.4
1932,285.8
1933,286.1
1934,286.5
1935,286.8
1936,286.9
1937,286.8
1938,286.9
1939,287.3
1940,287.7
1941,288.1
1942,288.3
1943,288.2
1944,288
1945,287.9
1946,287.8
1947,287.9
1948,287.9
1949,287.9
1950,287.7
1951,287.6
1952,287.7
1953,288
1954,288.7
1955,289.6
1956,290.6
1957,291.4
1958,291.9
1959,292.2
1960,292.3
1961,292.4
1962,292.5
1963,292.6
1964,292.7
1965,292.7
1966,292.8
1967,293.1
1968,293.6
1969,294.3
1970,295.2
1971,296.2
1972,297
1973,297.7
1974,298.4
1975,299.1
1976,299.9
1977,300.7
1978,301.5
1979,302.1
1980,302.6
1981,303
1982,303.4
1983,303.7
1984,304.1
1985,304.5
1986,305.1
1987,305.7
1988,306.3
1989,307
1990,307.7
1991,308.4
1992,309.1
1993,309.8
1994,310.5
1995,311.2
1996,312
1997,312.8
1998,313.7
1999,314.6
2000,315.4
2001,316.2
2002,317
2003,317.8
2004,318.6
2005,318.9333333
2006,319.8333333
2007,320.4666667
2008,321.5
2009,322.275
2010,323.1916667
2011,324.2166667
2012,325.0666667
2013,325.95
2014,327.0916667
2015,328.175
2016,328.9583333
2017,329.75
2018,330.9166667
2019,331.8916667
