Year,Absolute Sea Level Change Since 1880 (inches)
1880,0
1881,0.220472441
1882,-0.440944881
1883,-0.232283464
1884,0.590551181
1885,0.531496062
1886,0.437007874
1887,0.216535433
1888,0.299212598
1889,0.362204724
1890,0.440944881
1891,0.374015748
1892,0.499999999
1893,0.685039369
1894,0.303149606
1895,0.767716535
1896,0.468503937
1897,0.673228346
1898,1.043307086
1899,1.338582676
1900,1.125984251
1901,1.110236219
1902,1.291338581
1903,1.606299211
1904,1.2007874
1905,0.984251968
1906,1.251968503
1907,1.196850392
1908,1.098425196
1909,1.27559055
1910,1.271653542
1911,1.598425195
1912,1.476377951
1913,1.547244093
1914,1.795275589
1915,2.10629921
1916,2.031496061
1917,1.854330707
1918,1.791338581
1919,1.854330707
1920,1.905511809
1921,1.988188974
1922,1.952755904
1923,1.999999998
1924,1.712598423
1925,1.791338581
1926,2.047244092
1927,2.003937006
1928,1.850393699
1929,1.905511809
1930,2.062992124
1931,2.047244092
1932,2.271653541
1933,2.440944879
1934,2.228346454
1935,2.448818895
1936,2.295275588
1937,2.519685037
1938,2.622047241
1939,2.826771651
1940,2.618110234
1941,3.098425194
1942,3.098425194
1943,3.098425194
1944,2.84645669
1945,2.95669291
1946,3.251968501
1947,3.374015745
1948,3.562992122
1949,3.51181102
1950,3.598425193
1951,3.972440941
1952,3.870078736
1953,4.043307082
1954,3.929133854
1955,3.964566925
1956,3.763779524
1957,4.291338578
1958,4.346456688
1959,4.358267712
1960,4.503937003
1961,4.748031491
1962,4.543307082
1963,4.480314956
1964,4.169291334
1965,4.610236216
1966,4.397637791
1967,4.452755901
1968,4.484251964
1969,4.751968499
1970,4.67716535
1971,4.881889759
1972,5.240157475
1973,5.003937003
1974,5.472440939
1975,5.409448813
1976,5.370078735
1977,5.303149601
1978,5.555118105
1979,5.362204719
1980,5.598425191
1981,6.086614167
1982,5.858267711
1983,6.188976372
1984,6.153543301
1985,5.74803149
1986,5.771653537
1987,5.795275585
1988,5.980314955
1989,6.157480309
1990,6.232283458
1991,6.334645663
1992,6.35826771
1993,6.29133858
1994,6.40543654
1995,6.55502743
1996,6.71896711
1997,6.90348154
1998,6.76519237
1999,6.92772163
2000,6.9843921
2001,7.17270217
2002,7.33594909
2003,7.61072797
2004,7.60701052
2005,7.6751309
2006,7.78466689
2007,7.82732702
2008,8.1065829
2009,8.28984907
2010,8.4837156
2011,8.47072258
2012,8.86207449
2013,8.73242864
2014,8.598323546
2015,8.943307703
2016,9.033066323
2017,9.106459524
2018,9.242658787
